RX Date/Time,(Mission Status) Flight state [-],(Mission Status) Runtime [ms],(Mission Status) Soft enabled [-],(Mission Status) Armed [-],(Mission Status) BW connected [-],(Mission Status) Camera enabled [-],(RF status) Packet count,(RF status) RSSI [dB],(RF status) CRC error [-],(RF status) Packet delay [ms],(RF status) Selected antenna [-],(Sensor Readings) Temperature [°C],(Sensor Readings) Altitude [m],(Sensor Readings) Pressure [KPa],(Sensor Readings) Battery voltage [V],(Sensor Readings) External Temperature [°C],(GPS) GPS Time,(GPS) Longitude [°N],(GPS) Latitude [°E],(GPS) Altitude [m],(GPS) No. Sats,(Accelerometer) X [m/s^2],(Accelerometer) Y [m/s^2],(Accelerometer) Z [m/s^2],(Gyroscope) X [rad/s],(Gyroscope) Y [rad/s],(Gyroscope) Z [rad/s],(Orientation) w [-],(Orientation) x [-],(Orientation) y [-],(Orientation) z [-]
2021/05/28/ 09:25:51::616,1,1381,0,1,0,0,45,-104,0,25,2,20.25,0,101.980003,8.21,20.25,1381,5.922696,52.394821,0,0,0.861416,8.403593,-2.603391,-0.096517,-0.030543,0.013439,0,-0.030543,-0.096517,-2.603391
2021/05/28/ 09:25:51::616,1,1406,0,1,0,0,46,-104,1,25,2,20.25,0,101.980003,8.21,20.25,1406,5.922696,52.394821,0,0,0.459422,8.642876,-118.396866,-0.025656,-0.050091,-0.031765,0,-0.050091,-0.025656,-118.396866
2021/05/28/ 09:25:51::616,1,1431,0,1,0,0,47,-104,0,25,2,20.25,0,101.981003,8.22,20.25,1431,5.922696,52.394821,0,0,0.59342,9.619147,-1.70369,-0.050091,-0.00733,-0.050091,0,-0.00733,-0.050091,-1.70369
2021/05/28/ 09:25:51::699,1,1456,0,1,0,0,48,-105,0,25,2,20.25,0,101.980003,8.23,20.25,1456,5.922696,52.394821,0,0,-0.459422,10.509277,0.689133,-0.117286,-0.090408,-0.07086,0,-0.090408,-0.117286,0.689133
2021/05/28/ 09:25:51::700,1,937,0,1,0,0,49,-101,1,25,2,20.25,0,101.980003,8.2,20.25,937,5.922696,52.394821,0,0,-0.583849,10.030712,-0.985843,0.059865,-0.150273,-0.067195,0,-0.150273,0.059865,-0.985843
2021/05/28/ 09:25:51::700,1,1506,0,1,0,0,50,-101,1,25,2,20.25,-48,101.980003,8.22,20.25,1506,5.922696,52.394821,-48,0,-2.057827,10.566705,2.871387,0.013439,-0.133169,-0.0281,0,-0.133169,0.013439,2.871387
2021/05/28/ 09:25:51::756,1,1531,0,1,0,0,51,-101,0,25,2,20.25,0,101.980003,8.23,20.25,1531,5.922696,52.394821,0,0,-1.100698,9.044869,1.100698,-0.061087,-0.09163,0.024435,0,-0.09163,-0.061087,1.100698
2021/05/28/ 09:25:51::757,1,1556,0,1,0,0,52,-100,0,25,2,20.25,0,101.980003,8.21,20.25,1556,5.922696,52.394821,0,0,-1.445265,9.628718,0.957129,0.109956,-0.062308,0.057421,0,-0.062308,0.109956,0.957129
2021/05/28/ 09:25:51::811,1,1581,0,1,0,0,53,-100,0,25,2,20.25,0,101.980003,8.22,20.25,1581,5.922696,52.394821,0,0,-0.191426,8.977871,-2.019542,0.047647,-0.009774,0.054978,0,-0.009774,0.047647,-2.019542
2021/05/28/ 09:25:51::991,1,1773,0,1,0,0,54,-98,0,191,1,20.25,0,101.980003,8.2,20.25,1773,5.922696,52.394821,0,0,0.660419,10.030712,-3.397808,0.043982,-0.036652,-0.079412,0,-0.036652,0.043982,-3.397808
2021/05/28/ 09:25:51::991,1,1798,0,1,0,0,55,-98,0,25,1,20.25,0,101.980003,8.19,20.25,1798,5.922696,52.394821,0,0,1.033699,10.930414,0.574277,-0.030543,-0.012217,-0.094073,0,-0.012217,-0.030543,0.574277
2021/05/28/ 09:25:52::032,1,1823,0,1,0,0,56,-96,0,25,1,20.25,0,101.980003,8.22,20.25,1823,5.922696,52.394821,0,0,0.899701,11.035698,1.971686,-0.138056,-0.068417,-0.11973,0,-0.068417,-0.138056,1.971686
2021/05/28/ 09:25:52::032,1,1848,0,1,0,0,57,-96,0,25,1,20.25,0,101.980003,8.22,20.25,1848,5.922696,52.394821,0,0,0.057428,10.681561,1.148555,-0.064752,-0.102625,-0.138056,0,-0.102625,-0.064752,1.148555
2021/05/28/ 09:25:52::095,1,1873,0,1,0,0,58,-94,0,25,1,20.25,0,101.980003,8.21,20.25,1873,5.922696,52.394821,0,0,-0.210568,10.212567,3.828516,-0.065973,0.004887,-0.124617,0,0.004887,-0.065973,3.828516
2021/05/28/ 09:25:52::095,1,1898,0,1,0,0,59,-96,0,25,1,20.25,0,101.980003,8.22,20.25,1898,5.922696,52.394821,0,0,1.071985,8.853444,-0.9667,-0.144164,0.053756,-0.107512,0,0.053756,-0.144164,-0.9667
2021/05/28/ 09:25:52::136,1,1923,0,1,0,0,60,-94,1,25,1,20.25,720,101.980003,8.2,20.25,1923,5.922696,52.394821,720,0,-0.37328,8.930014,0.756132,0.050091,-0.040317,-0.064752,0,-0.040317,0.050091,0.756132
2021/05/28/ 09:25:52::136,1,1948,0,1,0,0,61,-96,0,25,1,20.25,0,101.980003,8.22,20.25,1948,5.922696,52.394821,0,0,0.564706,9.647861,-1.320838,0.042761,-0.012217,-0.013439,0,-0.012217,0.042761,-1.320838
2021/05/28/ 09:25:52::195,1,1973,0,1,0,0,62,-96,0,25,1,20.25,0,101.980003,8.22,20.25,1973,5.922696,52.394821,0,0,0.200997,9.906285,2.105684,-0.050091,0.03543,0.0281,0,0.03543,-0.050091,2.105684
2021/05/28/ 09:25:52::195,1,1998,0,1,0,0,63,-96,0,25,1,20.25,0,101.980003,8.22,20.25,1998,5.922696,52.394821,0,0,0.823131,9.887143,1.40698,0.026878,-0.00733,0.057421,0,-0.00733,0.026878,1.40698
2021/05/28/ 09:25:52::239,1,2023,0,1,0,0,64,-96,0,25,1,20.25,0,101.980003,8.24,20.25,2023,5.922696,52.394821,0,0,-1.024128,9.590433,2.182254,0,0,0.081856,0,0,0,2.182254
2021/05/28/ 09:25:52::239,1,2048,0,1,0,0,65,-97,0,25,1,20.25,0,101.980003,8.22,20.25,2048,5.922696,52.394821,0,0,0.392423,9.810573,2.258825,0.014661,-0.015882,0.120951,0,-0.015882,0.014661,2.258825
2021/05/28/ 09:25:52::288,1,2073,0,1,0,0,66,-97,0,25,1,20.25,0,101.980003,8.18,20.25,2073,5.922696,52.394821,0,0,0.047856,9.657433,1.837688,0.087965,-0.004887,0.123395,0,-0.004887,0.087965,1.837688
2021/05/28/ 09:25:52::289,1,2098,0,1,0,0,67,-98,0,25,1,20.25,0,101.980003,8.22,20.25,2098,5.922696,52.394821,0,0,1.148555,9.408579,-1.502693,0.105069,0.018326,0.11973,0,0.018326,0.105069,-1.502693
2021/05/28/ 09:25:52::340,1,2123,0,1,0,0,68,-97,0,25,1,20.25,0,101.980003,8.21,20.25,2123,5.922696,52.394821,0,0,0.612563,10.729417,2.182254,0.034208,-0.117286,0.103847,0,-0.117286,0.034208,2.182254
2021/05/28/ 09:25:52::340,1,2148,0,1,0,0,69,-98,0,25,1,20.25,0,101.980003,8.22,20.25,2148,5.922696,52.394821,0,0,-0.191426,10.30828,1.26341,0.046426,-0.021991,0.078191,0,-0.021991,0.046426,1.26341
2021/05/28/ 09:25:52::394,1,2173,0,1,0,0,70,-98,0,25,1,20.25,0,101.980003,8.22,20.25,2173,5.922696,52.394821,0,0,0.200997,10.949556,4.37408,0.036652,0.057421,0.046426,0,0.057421,0.036652,4.37408
2021/05/28/ 09:25:52::394,1,2198,0,1,0,0,71,-98,0,25,1,20.25,0,101.980003,8.21,20.25,2198,5.922696,52.394821,0,0,2.15354,9.456435,-1.866402,0.006109,-0.034208,0.026878,0,-0.034208,0.006109,-1.866402
2021/05/28/ 09:25:52::451,1,2223,0,1,0,0,72,-98,0,25,1,20.25,0,101.980003,8.23,20.25,2223,5.922696,52.394821,0,0,0.899701,8.126026,-5.513063,0.075747,-0.102625,-0.012217,0,-0.102625,0.075747,-5.513063
2021/05/28/ 09:25:52::451,1,2248,0,1,0,0,73,-98,0,25,1,20.25,0,101.980003,8.22,20.25,2248,5.922696,52.394821,0,0,1.272982,9.609575,-2.287539,0.080634,-0.076969,-0.051313,0,-0.076969,0.080634,-2.287539
2021/05/28/ 09:25:52::451,1,2273,0,1,0,0,74,-98,0,25,1,20.25,0,101.980003,8.21,20.25,2273,5.922696,52.394821,0,0,0.928415,11.112268,3.63709,0.018326,-0.051313,-0.052534,0,-0.051313,0.018326,3.63709
2021/05/28/ 09:25:52::503,1,2298,0,1,0,0,75,-98,0,25,1,20.25,0,101.980003,8.22,20.25,2298,5.922696,52.394821,0,0,0.210568,10.796415,2.440679,0.050091,-0.013439,-0.058643,0,-0.013439,0.050091,2.440679
2021/05/28/ 09:25:52::503,1,2323,0,1,0,0,76,-98,0,25,1,20.25,0,101.980003,8.22,20.25,2323,5.922696,52.394821,0,0,-0.803988,10.183853,1.78026,0.037874,-0.067195,-0.083078,0,-0.067195,0.037874,1.78026
2021/05/28/ 09:25:52::565,1,2348,0,1,0,0,77,-98,0,25,1,20.25,0,101.980003,8.22,20.25,2348,5.922696,52.394821,0,0,0.086142,9.724431,-2.344966,-0.064752,-0.076969,-0.061087,0,-0.076969,-0.064752,-2.344966
2021/05/28/ 09:25:52::565,1,2373,0,1,0,0,78,-98,0,25,1,20.25,0,101.980003,8.21,20.25,2373,5.922696,52.394821,0,0,1.713261,9.226724,-1.799403,-0.059865,-0.073304,-0.024435,0,-0.073304,-0.059865,-1.799403
